"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"ABADIA DE GOIAS",5200050,288749.27,7,1,0,2,2,0,0.690042506427809
"ABADIA DOS DOURADOS",3100104,1e+05,1,1,0,1,1,0,1
"ABADIANIA",5200100,659275.65,6,1,0,2,2,0,0.598043701447187
"ABAETE",3100203,895901.82,6,1,0,6,6,0,0.294675146435131
"ABAIRA",2900108,300256.82,2,1,0,2,2,0,0.653629849273698
"ABATIA",4100103,337250,3,1,0,3,3,0,0.547664936990363
"ABDON BATISTA",4200051,447700,2,1,0,2,2,0,0.888988161715434
"ABEL FIGUEIREDO",1500131,392000,10,1,0,1,1,0,1
"ABELARDO LUZ",4200101,396629.51,7,1,0,3,3,0,0.708313408147568
"ABRE CAMPO",3100302,393564.1,15,1,0,12,6,0,0.367853927733754
"ABREU E LIMA",2600054,887302.49,5,1,0,3,3,0,0.552235574138871
"ACARAU",2300200,15363.2,2,1,0,1,1,0,1
"ACARI",2400109,755823.83,9,1,0,1,1,0,1
"ACAUA",2200053,384210.75,7,0.961405452606415,0.0385945473935854,6,6,0,0.325342276341825
"ACRELANDIA",1200013,69448.98,1,1,0,1,1,0,1
"ACREUNA",5200134,2256393.2,13,1,0,4,4,1,0.446559695358061
"ACU",2400208,533419.79,9,1,0,2,2,0,0.570241554030082
"ADAMANTINA",3500105,1878053.04,29,0.995750918728046,0.00424908127195385,18,14,1,0.543057080006643
"ADOLFO",3500204,135050,3,1,0,2,2,0,0.740466493891151
"AFOGADOS DA INGAZEIRA",2600104,359443.22,6,1,0,2,2,0,0.653042614074067
"AFONSO BEZERRA",2400307,284111.03,6,0.993664448719221,0.00633555128077921,3,2,0,0.9287506014814
"AFONSO CLAUDIO",3200102,1089305.53,6,1,0,4,4,0,0.290093083434544
"AFRANIO",2600203,1674879.06,8,1,0,6,6,1,0.620940356135326
"AGRESTINA",2600302,716956.38,2,1,0,2,2,0,0.802001371408397
"AGRICOLANDIA",2200103,1534905.59,11,0.97749526731478,0.0225047326852201,5,5,0,0.513768674202301
"AGROLANDIA",4200200,182500,1,1,0,1,1,0,1
"AGRONOMICA",4200309,403640,5,1,0,4,4,0,0.718214250322069
"AGUA BOA",5100201,47979.58,1,1,0,1,1,0,1
"AGUA BRANCA",2200202,2271680.37,16,0.988795025772045,0.0112049742279544,5,4,1,0.550047148578389
"AGUA BRANCA",2500106,30353.64,1,1,0,1,1,0,1
"AGUA CLARA",5000203,498716.86,3,1,0,1,1,0,1
"AGUA COMPRIDA",3100708,204000,1,1,0,1,1,0,1
"AGUA DOCE",4200408,230385.59,3,1,0,2,2,0,0.902400189178499
"AGUA DOCE DO MARANHAO",2100154,727001.98,7,1,0,3,3,0,0.391945383697579
"AGUA DOCE DO NORTE",3200169,1141750,4,1,0,3,3,0,0.555287935187213
"AGUA FRIA DE GOIAS",5200175,174850,1,1,0,1,1,0,1
"AGUA NOVA",2400406,205000,1,1,0,1,1,0,1
"AGUA SANTA",4300059,736000,3,1,0,3,3,0,0.459239130434783
"AGUANIL",3100807,206481.85,5,1,0,3,3,0,0.470413501235096
"AGUAS DE CHAPECO",4200507,422147.05,4,0.410520457267201,0.589479542732799,3,3,0,0.589479542732799
"AGUAS DE LINDOIA",3500501,125396.65,1,1,0,1,1,0,1
"AGUAS DE SANTA BARBARA",3500550,307369.41,3,1,0,2,2,0,0.578792535015114
"AGUAS FORMOSAS",3100906,482100,5,1,0,3,3,0,0.55216760008297
"AGUAS FRIAS",4200556,284981.39,13,0.548983216061933,0.451016783938067,5,5,0,0.451016783938067
"AGUAS LINDAS DE GOIAS",5200258,101000,2,1,0,1,1,0,1
"AGUAS MORNAS",4200606,456000,4,1,0,1,1,0,1
"AGUAS VERMELHAS",3101003,221040,3,1,0,2,2,0,0.690598986608759
"AGUDO",4300109,236100.39,14,1,0,7,6,0,0.325285358486701
"AGUDOS",3500709,64259.73,2,1,0,1,1,0,1
"AGUDOS DO SUL",4100301,591170.72,13,1,0,6,5,0,0.389998577737409
"AGUIA BRANCA",3200136,752500,7,1,0,2,2,0,0.6578073089701
"AGUIARNOPOLIS",1700301,206693.64,3,1,0,2,2,0,0.503160135938387
"AIMORES",3101102,569514.98,7,1,0,3,3,0,0.709401849271814
"AIURUOCA",3101201,263000,2,1,0,1,1,0,1
"AJURICABA",4300208,847032.06,44,1,0,12,9,0,0.383692678645481
"ALAGOA NOVA",2500403,310242.2,3,1,0,2,2,0,0.817103540395214
"ALAGOINHA",2500502,118740,2,1,0,1,1,0,1
"ALAMBARI",3500758,78312.58,4,1,0,1,1,0,1
"ALCANTARAS",2300507,37887.4,1,1,0,1,1,0,1
"ALCANTIL",2500536,31787.11,1,1,0,1,1,0,1
"ALCINOPOLIS",5000252,166046.67,2,1,0,2,2,0,0.691171162902574
