"COD.IBGE","LONGITUDE","LATITUDE","ALTITUDE"
4301875,-57.5570603248122,-30.2110754071007,42.0408
4322400,-57.0818249090229,-29.7598231712009,78.23018999999999
4315305,-56.4536470403836,-30.3828679600575,118.674261
4317103,-55.5348142679597,-30.8893840103812,200.677824
4310603,-56.55713349703041,-29.128636898258,62.084645
4300406,-55.7958701453331,-29.78204320831051,94.73120299999999
4311718,-56.06361348173561,-29.146144198381,104.458392
4305439,-53.4626751416843,-33.6875668678584,21.227314
4317301,-53.3670063807333,-33.5198600298257,22.271285
4311007,-53.3775229153129,-32.5635686676586,20.019821
4300034,-54.1647315363634,-31.8640153034157,237.92225
4301602,-54.10708328517,-31.3305018407089,209.095691
4309654,-53.8678247940087,-31.4050982475474,194.573242
4304358,-53.6778046425127,-31.5610097227116,225.521444
4307104,-53.3943378608911,-32.0267435503097,303.609543
4301305,-53.0822483482181,-32.2363441248154,29.418487
4314175,-53.58717031963959,-31.7336369386265,373.464079
4314506,-53.38461996827739,-31.5805926678521,432.68822
4314605,-53.10473445397211,-31.4441124725134,337.446317
4316402,-54.9457608552519,-30.2440332369883,150.359109
4306601,-54.6741301838237,-30.9812670559179,141.456516
4318309,-54.3204778581076,-30.3367600540284,120.597738
4311759,-55.491662539453,-29.5805371818348,90.384798
4318101,-55.1323857402451,-29.5527159059282,120.578999
4322376,-55.1507805181379,-29.0474850247827,357.847771
4302907,-54.8277276903362,-29.8802876596639,125.392029
4319802,-54.6760020162093,-29.6920608336535,135.488634
4311106,-54.6938466713292,-29.4973467304063,115.822362
4312104,-54.4524354819352,-29.5693917747432,103.112808
4313037,-54.8358729018542,-29.40459570782,326.047627
4317400,-54.86907585378861,-29.1914601700905,422.942866
4304655,-54.5546989999907,-28.9316275187548,328.773604
4311502,-53.8984766554676,-30.8120099922089,294.355124
4316972,-54.09095467035859,-30.3451034500873,153.51644
4323457,-53.879196483097,-30.333958688345,257.489039
4317004,-53.1158749986991,-30.8747025731301,281.300562
4302808,-53.4875689200414,-30.5147432332542,432.546779
4319604,-53.5696441253718,-30.1674113888932,119.521095
4306379,-54.21356038450211,-29.7019639089413,108.986827
4319406,-54.1799912875495,-29.6175307553829,181.086348
4316907,-53.8086753946629,-29.6855818027334,155.311933
4319125,-53.8542256318643,-29.5348505675058,446.421058
4310538,-53.75784924900451,-29.602887953933,437.046869
4321493,-54.22801099673821,-29.472141699946,123.703753
4311130,-54.219935820282,-29.2900810960349,428.456448
4315321,-54.07125472235081,-29.3519213491659,419.618407
4311205,-53.683099614611,-29.2264491184703,528.455771
4322202,-53.8406300553464,-29.0774797292461,464.189257
4308409,-53.50029441494449,-29.9976338146029,123.164908
4315503,-53.3705685765474,-29.8139485358844,59.095519
4320651,-53.58523747361191,-29.6452500577358,433.416889
4310751,-53.5808856194398,-29.5195344835242,168.908176
4318432,-53.4463504348062,-29.6146764155532,56
4308003,-53.43906481970581,-29.5743295389602,88.681562
4306700,-53.36233318078499,-29.6248524905359,49.968409
4300109,-53.2586916877151,-29.645663362438,65.79378800000001
4314027,-53.17910023895459,-29.7313142393347,43.672999
4311239,-53.01698318078349,-29.4941313996333,590.266333
4313102,-53.4706351108828,-29.4730257371419,120.769776
4314472,-53.3386383371448,-29.3353601281098,458.934024
4309753,-53.1332000129437,-29.4207443602758,321.878999
4307815,-53.1602937786865,-29.1796613608976,401.5439539999999
4301206,-53.0863955671765,-29.3358596124972,349.517889
4320701,-53.0251679436161,-29.4147731333216,368.076194
4320263,-52.9820736412151,-29.3426184265204,338.059615
4316451,-53.2133096524064,-29.0886812470148,325.537791
4310876,-53.0565506587969,-29.0338163553105,300.623875
4304101,-52.99891473322801,-28.8921317665278,504.7913009999999
4318002,-56.0010291536185,-28.6628375259,94.80966100000001
4308656,-55.6340719501044,-28.1894767892825,89.971558
4310553,-55.23272326405159,-28.8022050322898,165.803751
4317707,-55.2245566426344,-28.5080969767999,200.88437
4302501,-54.9098109252545,-28.730724329428,260.54817
4318903,-54.9596595493639,-28.4066469522193,259.81157
4319208,-55.26010023202801,-28.1821546925196,159.493025
4314555,-55.2003099472118,-28.0453158368443,129.310068
4306353,-55.04820850203991,-28.2268764427117,178.073698
4316303,-55.0291861243459,-28.1353669861098,147.911943
4319307,-54.93470834225239,-28.0204849091791,167.448276
4315107,-55.139560262016,-27.9056898461534,109.137425
4315008,-55.0115620452524,-27.8513751151926,96.21339999999999
4315073,-54.8990318240447,-27.7343739186307,108.249975
4303301,-54.63788670420869,-28.2910748183788,289.088609
4319158,-54.5615630937001,-28.5495371207205,283.414434
4323754,-54.4990548870704,-28.352387248462,188.00134
4306932,-54.2714318511947,-28.3627942771102,243.764927
4317509,-54.2641427984269,-28.3019378725592,285.746044
4315958,-54.81942697541041,-28.2563442165406,211.366773
4319372,-54.8882559534463,-28.1243539010572,196.202775
4316477,-54.8377420188123,-28.1216974443491,212.547161
4305207,-54.7399972398551,-28.1478408761664,195.272762
4303707,-54.8453289508288,-27.9916900276177,143.876523
4312179,-54.6168368777268,-28.2558159862253,217.403388
4322343,-54.68451077622811,-28.0435647649493,229.772682
4304309,-54.7528340428941,-27.9513180673193,319.931616
4300307,-54.7670962217407,-27.6610744570253,307.853265
4317905,-54.66874789529041,-27.8199297338217,293.969006
4309506,-54.56055592966089,-28.1417792565601,269.026012
4320578,-54.4636861823155,-28.130416322586,266.635159
4320321,-54.5454030325181,-28.0274895006135,328.127093
4309001,-54.3508400776839,-28.02974437211361,431.60027
4317202,-54.4782240987609,-27.8667497981428,310.676553
4322301,-54.47850807532731,-27.7540889265205,312.080129
4315057,-54.671951891498,-27.5786353592823,220.584526
4313425,-54.5033844145301,-27.5784006498033,243.602112
4322103,-54.43312866883421,-27.6500599325816,232.342571
4306734,-54.3582679905268,-27.509212612939,246.713142
4309605,-54.3087915108958,-27.6300969129048,318.736224
4311155,-54.11596489702111,-28.6456235338337,338.427127
4307831,-54.1481126184862,-28.5250597618185,319.492636
4301503,-53.98947008072259,-28.5133519883222,389.697983
4305871,-54.0736624302888,-28.3845408578866,297.22736
4302220,-53.81373463511491,-28.5774344746874,418.512804
4310207,-53.918066835708,-28.3885365401951,311.71309
4302584,-53.7724021387641,-28.3662899394048,435.743934
4314308,-53.6565423317738,-28.421586063368,461.909944
4305009,-54.0123868476744,-28.2542344716743,280.583141
4310405,-54.1881083345896,-27.847331557287,379.292586
4321808,-54.23530220754671,-27.7796602181189,370.473459
