Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)"
Brasil;--;0,493;0,612;0,727
"Acrelândia (AC)";120001;0,247;0,451;0,604
"Assis Brasil (AC)";120005;0,314;0,425;0,588
"Brasiléia (AC)";120010;0,336;0,476;0,614
"Bujari (AC)";120013;0,267;0,460;0,589
"Capixaba (AC)";120017;0,183;0,365;0,575
"Cruzeiro do Sul (AC)";120020;0,398;0,510;0,664
"Epitaciolândia (AC)";120025;0,372;0,474;0,653
"Feijó (AC)";120030;0,258;0,323;0,539
"Jordão (AC)";120032;0,170;0,222;0,469
"Mâncio Lima (AC)";120033;0,298;0,456;0,625
"Manoel Urbano (AC)";120034;0,218;0,395;0,551
"Marechal Thaumaturgo (AC)";120035;0,186;0,301;0,501
"Plácido de Castro (AC)";120038;0,265;0,464;0,622
"Porto Acre (AC)";120080;0,259;0,443;0,576
"Porto Walter (AC)";120039;0,176;0,342;0,532
"Rio Branco (AC)";120040;0,485;0,591;0,727
"Rodrigues Alves (AC)";120042;0,245;0,399;0,567
"Santa Rosa do Purus (AC)";120043;0,167;0,277;0,517
"Senador Guiomard (AC)";120045;0,354;0,488;0,640
"Sena Madureira (AC)";120050;0,317;0,451;0,603
"Tarauacá (AC)";120060;0,274;0,386;0,539
"Xapuri (AC)";120070;0,348;0,445;0,599
"Água Branca (AL)";270010;0,282;0,392;0,549
"Anadia (AL)";270020;0,302;0,428;0,568
"Arapiraca (AL)";270030;0,359;0,476;0,649
"Atalaia (AL)";270040;0,285;0,407;0,561
"Barra de Santo Antônio (AL)";270050;0,265;0,378;0,557
"Barra de São Miguel (AL)";270060;0,275;0,440;0,615
"Batalha (AL)";270070;0,291;0,401;0,594
"Belém (AL)";270080;0,298;0,416;0,593
"Belo Monte (AL)";270090;0,227;0,331;0,517
"Boca da Mata (AL)";270100;0,333;0,420;0,604
"Branquinha (AL)";270110;0,197;0,311;0,513
"Cacimbinhas (AL)";270120;0,282;0,359;0,531
"Cajueiro (AL)";270130;0,288;0,385;0,562
"Campestre (AL)";270135;0,312;0,412;0,559
"Campo Alegre (AL)";270140;0,292;0,393;0,570
"Campo Grande (AL)";270150;0,214;0,337;0,524
"Canapi (AL)";270160;0,205;0,306;0,506
"Capela (AL)";270170;0,288;0,379;0,573
"Carneiros (AL)";270180;0,271;0,356;0,526
"Chã Preta (AL)";270190;0,287;0,383;0,575
"Coité do Nóia (AL)";270200;0,235;0,354;0,533
"Colônia Leopoldina (AL)";270210;0,255;0,377;0,517
"Coqueiro Seco (AL)";270220;0,344;0,466;0,586
"Coruripe (AL)";270230;0,317;0,419;0,626
"Craíbas (AL)";270235;0,204;0,344;0,525
"Delmiro Gouveia (AL)";270240;0,334;0,436;0,612
"Dois Riachos (AL)";270250;0,261;0,370;0,532
"Estrela de Alagoas (AL)";270255;0,221;0,322;0,534
"Feira Grande (AL)";270260;0,250;0,371;0,533
"Feliz Deserto (AL)";270270;0,329;0,411;0,565
"Flexeiras (AL)";270280;0,232;0,373;0,527
"Girau do Ponciano (AL)";270290;0,241;0,335;0,536
"Ibateguara (AL)";270300;0,266;0,337;0,518
"Igaci (AL)";270310;0,241;0,366;0,564
"Igreja Nova (AL)";270320;0,220;0,374;0,568
"Inhapi (AL)";270330;0,189;0,281;0,484
"Jacaré dos Homens (AL)";270340;0,296;0,400;0,583
"Jacuípe (AL)";270350;0,229;0,358;0,548
"Japaratinga (AL)";270360;0,331;0,414;0,570
"Jaramataia (AL)";270370;0,221;0,386;0,552
"Jequiá da Praia (AL)";270375;0,260;0,382;0,556
"Joaquim Gomes (AL)";270380;0,223;0,349;0,531
"Jundiá (AL)";270390;0,278;0,380;0,562
"Junqueiro (AL)";270400;0,281;0,426;0,575
"Lagoa da Canoa (AL)";270410;0,248;0,383;0,552
"Limoeiro de Anadia (AL)";270420;0,214;0,369;0,580
"Maceió (AL)";270430;0,507;0,584;0,721
"Major Isidoro (AL)";270440;0,281;0,365;0,566
"Maragogi (AL)";270450;0,278;0,419;0,574
"Maravilha (AL)";270460;0,300;0,343;0,569
"Marechal Deodoro (AL)";270470;0,349;0,463;0,642
"Maribondo (AL)";270480;0,327;0,452;0,597
"Mar Vermelho (AL)";270490;0,274;0,412;0,577
"Mata Grande (AL)";270500;0,253;0,356;0,504
"Matriz de Camaragibe (AL)";270510;0,332;0,394;0,584
"Messias (AL)";270520;0,306;0,379;0,568
"Minador do Negrão (AL)";270530;0,263;0,384;0,563
"Monteirópolis (AL)";270540;0,251;0,380;0,539
"Murici (AL)";270550;0,273;0,391;0,527
"Novo Lino (AL)";270560;0,281;0,355;0,521
"Olho D'Água das Flores (AL)";270570;0,322;0,405;0,565
"Olho D'Água do Casado (AL)";270580;0,259;0,362;0,525
"Olho D'Água Grande (AL)";270590;0,238;0,368;0,503
"Olivença (AL)";270600;0,217;0,301;0,493
"Ouro Branco (AL)";270610;0,291;0,396;0,547
"Palestina (AL)";270620;0,317;0,402;0,558
"Palmeira dos Índios (AL)";270630;0,385;0,482;0,638
"Pão de Açúcar (AL)";270640;0,345;0,434;0,593
"Pariconha (AL)";270642;0,227;0,350;0,548
"Paripueira (AL)";270644;0,312;0,423;0,605
"Passo de Camaragibe (AL)";270650;0,249;0,382;0,533
"Paulo Jacinto (AL)";270660;0,282;0,420;0,589
"Penedo (AL)";270670;0,411;0,495;0,630
"Piaçabuçu (AL)";270680;0,316;0,417;0,572
"Pilar (AL)";270690;0,325;0,418;0,610
"Pindoba (AL)";270700;0,252;0,355;0,574
"Piranhas (AL)";270710;0,398;0,432;0,589
"Poço das Trincheiras (AL)";270720;0,240;0,313;0,526
"Porto Calvo (AL)";270730;0,322;0,423;0,586
"Porto de Pedras (AL)";270740;0,255;0,344;0,541
"Porto Real do Colégio (AL)";270750;0,274;0,378;0,551
"Quebrangulo (AL)";270760;0,300;0,384;0,559
"Rio Largo (AL)";270770;0,389;0,505;0,643
"Roteiro (AL)";270780;0,219;0,339;0,505
"Santa Luzia do Norte (AL)";270790;0,375;0,434;0,597
"Santana do Ipanema (AL)";270800;0,349;0,425;0,591
"Santana do Mundaú (AL)";270810;0,266;0,356;0,519
"São Brás (AL)";270820;0,304;0,436;0,572
"São José da Laje (AL)";270830;0,304;0,402;0,573
"São José da Tapera (AL)";270840;0,204;0,319;0,527
"São Luís do Quitunde (AL)";270850;0,267;0,396;0,536
"São Miguel dos Campos (AL)";270860;0,365;0,506;0,623
"São Miguel dos Milagres (AL)";270870;0,337;0,444;0,591
"São Sebastião (AL)";270880;0,246;0,351;0,549
"Satuba (AL)";270890;0,416;0,543;0,660
