Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
Brasil;--;0,493;0,612;0,727;0,647;0,692;0,739;0,662;0,727;0,816;0,279;0,456;0,637
"Acrelândia (AC)";120001;0,247;0,451;0,604;0,535;0,565;0,584;0,652;0,723;0,808;0,043;0,224;0,466
"Assis Brasil (AC)";120005;0,314;0,425;0,588;0,499;0,517;0,578;0,646;0,711;0,770;0,096;0,209;0,456
"Brasiléia (AC)";120010;0,336;0,476;0,614;0,497;0,570;0,619;0,622;0,693;0,770;0,123;0,273;0,485
"Bujari (AC)";120013;0,267;0,460;0,589;0,513;0,546;0,603;0,677;0,707;0,772;0,055;0,252;0,439
"Capixaba (AC)";120017;0,183;0,365;0,575;0,514;0,538;0,601;0,596;0,682;0,794;0,020;0,133;0,398
"Cruzeiro do Sul (AC)";120020;0,398;0,510;0,664;0,513;0,564;0,648;0,652;0,721;0,776;0,188;0,327;0,582
"Epitaciolândia (AC)";120025;0,372;0,474;0,653;0,540;0,569;0,654;0,643;0,701;0,771;0,148;0,267;0,553
"Feijó (AC)";120030;0,258;0,323;0,539;0,459;0,431;0,559;0,584;0,644;0,723;0,064;0,121;0,388
"Jordão (AC)";120032;0,170;0,222;0,469;0,333;0,331;0,499;0,611;0,637;0,731;0,024;0,052;0,283
"Mâncio Lima (AC)";120033;0,298;0,456;0,625;0,429;0,489;0,580;0,622;0,682;0,770;0,099;0,285;0,546
"Manoel Urbano (AC)";120034;0,218;0,395;0,551;0,423;0,505;0,586;0,643;0,693;0,767;0,038;0,176;0,373
"Marechal Thaumaturgo (AC)";120035;0,186;0,301;0,501;0,361;0,395;0,479;0,596;0,637;0,726;0,030;0,108;0,361
"Plácido de Castro (AC)";120038;0,265;0,464;0,622;0,469;0,539;0,593;0,649;0,721;0,786;0,061;0,257;0,517
"Porto Acre (AC)";120080;0,259;0,443;0,576;0,457;0,531;0,593;0,622;0,685;0,771;0,061;0,239;0,418
"Porto Walter (AC)";120039;0,176;0,342;0,532;0,354;0,454;0,521;0,596;0,637;0,726;0,026;0,138;0,397
"Rio Branco (AC)";120040;0,485;0,591;0,727;0,643;0,673;0,729;0,684;0,724;0,798;0,259;0,423;0,661
"Rodrigues Alves (AC)";120042;0,245;0,399;0,567;0,386;0,449;0,518;0,622;0,644;0,736;0,061;0,220;0,477
"Santa Rosa do Purus (AC)";120043;0,167;0,277;0,517;0,378;0,359;0,519;0,643;0,701;0,781;0,019;0,084;0,340
