"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Nova Brasilândia D'Oeste RO","Alvorada D'Oeste RO","Campo Belo do Sul SC","Barra dos Coqueiros SE","São Miguel do Guaporé RO","Nova Viçosa BA","Tanguá RJ","Diamante D'Oeste PR","Cardoso Moreira RJ","Taquarussu MS","Alta Floresta D'Oeste RO",1100015,14,25,4365,1757,23,2107,3259,4009,3193,5174
"Ji-Paraná RO","Ponta Porã MS","Rolim de Moura RO","Lauro de Freitas BA","Saquarema RJ","São Pedro da Aldeia RJ","Naviraí MS","Macaé RJ","Pontes E Lacerda MT","Venâncio Aires RS","Ariquemes RO",1100023,12,5160,20,2057,3255,3252,5152,3211,5271,5082
"Epitaciolândia AC","Vale de São Domingos MT","Bocaina do Sul SC","Calçoene AP","Cordisburgo MG","Monteiro PB","Taquarussu MS","Divinésia MG","Barra dos Coqueiros SE","Valente BA","Cabixi RO",1100031,59,5311,4348,298,2451,1365,5174,2486,1757,2232
"Tangará da Serra MT","Bento Gonçalves RS","Santana de Parnaíba SP","Prudentópolis PR","Cachoeiras de Macacu RJ","Pinhais PR","Caldas Novas GO","Guapimirim RJ","Ponta Porã MS","Esteio RS","Cacoal RO",1100049,5305,4646,3795,4197,3187,4176,5366,3201,5160,4761
"Tocantins MG","Joaquim Távora PR","Jaborá SC","Palma Sola SC","Anchieta SC","Rio do Campo SC","Bom Jesus dos Perdões SP","Porciúncula RJ","Morungaba SP","Nova Xavantina MT","Cerejeiras RO",1100056,3052,4089,4441,4492,4321,4524,3346,3232,3624,5258
"Xambrê PR","Guaraci PR","União do Oeste SC","Pinheirinho do Vale RS","Capitólio MG","Missal PR","Ibiraçu ES","Salvador do Sul RS","Santo Inácio PR","Jardinópolis SC","Colorado do Oeste RO",1100064,4310,4044,4589,4919,2383,4134,3127,4961,4249,4445
"Governador Jorge Teixeira RO","Vale do Anari RO","Inácio Martins PR","Theobroma RO","Urupá RO","Jaquirana RS","Miranda MS","Piedade de Caratinga MG","Frei Paulo SE","São Geraldo da Piedade MG","Corumbiara RO",1100072,36,51,4058,49,50,4827,5150,2829,1772,2961
"Itamari BA","Itaueira PI","Cristino Castro PI","Lagoa Seca PB","Vertentes PE","Marcolândia PI","Curral Velho PB","Aragominas TO","Itororó BA","Junqueiro AL","Costa Marques RO",1100080,2013,765,733,1345,1646,789,1313,319,2028,1693
"Jequitibá MG","Novo Progresso PA","Aruanã GO","Amambai MS","Agudo RS","Itarumã GO","Água Clara MS","Barra do Ribeiro RS","Bonito MS","Marques de Souza RS","Espigão D'Oeste RO",1100098,2649,230,5345,5102,4606,5440,5100,4641,5115,4851
"Posse GO","Igaratinga MG","Raul Soares MG","Charrua RS","Sério RS","Nova Bandeirantes MT","Imbituva PR","Nova Brasilândia MT","Dilermando de Aguiar RS","Pinheiro Machado RS","Guajará-Mirim RO",1100106,5510,2586,2872,4708,5031,5249,4057,5253,4734,4920
