"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Nova Brasilândia D'Oeste RO","Alvorada D'Oeste RO","Gandu BA","Barra dos Coqueiros SE","Itaperuçu PR","Nazaré BA","São Miguel do Guaporé RO","São Gonçalo dos Campos BA","Peixoto de Azevedo MT","Lagoa Seca PB","Alta Floresta D'Oeste RO",1100015,"1100148","1100346","2911204","2800605","4111258","2922508","1100320","2929305","5106422","2508307"
"Ponta Porã MS","Saquarema RJ","São Pedro da Aldeia RJ","Ji-Paraná RO","Cacoal RO","Venâncio Aires RS","Castro PR","Camaquã RS","Cáceres MT","Itaguaí RJ","Ariquemes RO",1100023,"5006606","3305505","3305208","1100122","1100049","4322608","4104907","4303509","5102504","3302007"
"Calçoene AP","Lindoeste PR","Campo Belo do Sul SC","São Mamede PB","Bodoquena MS","Tuparetama PE","Diamante D'Oeste PR","Manoel Viana RS","Taquarussu MS","Luiziana PR","Cabixi RO",1100031,"1600204","4113452","4203402","2514909","5002159","2615904","4107157","4311759","5007976","4113734"
"Venâncio Aires RS","Tangará da Serra MT","Sapiranga RS","Caicó RN","Caldas Novas GO","Guaíba RS","Castro PR","Ponta Porã MS","São Sebastião do Paraíso MG","Rio Bonito RJ","Cacoal RO",1100049,"4322608","5107958","4319901","2402006","5204508","4309308","4104907","5006606","3164704","3304300"
"Tocantins MG","Porciúncula RJ","Bom Sucesso MG","Faxinal PR","Italva RJ","Wenceslau Braz PR","Correia Pinto SC","Rio Bananal ES","Guareí SP","Caiapônia GO","Cerejeiras RO",1100056,"3169000","3304102","3108008","4107603","3302056","4128500","4204558","3204351","3518503","5204409"
"Miracema do Tocantins TO","Pedra Preta MT","São Domingos do Prata MG","Bom Sucesso MG","Mangueirinha PR","Carmo RJ","Rio Bananal ES","Pirenópolis GO","Aimorés MG","Nazaré Paulista SP","Colorado do Oeste RO",1100064,"1713205","5106372","3161007","3108008","4114401","3301207","3204351","5217302","3101102","3532405"
"Ibirapuã BA","Piedade de Caratinga MG","Barra de São Miguel AL","Augusto Severo RN","Imbaú PR","Inácio Martins PR","Urupá RO","Pedra Branca do Amapari AP","Lagoa da Confusão TO","Juti MS","Corumbiara RO",1100072,"2912806","3150158","2700607","2401305","4110078","4110201","1101708","1600154","1711902","5005152"
"Fronteiras PI","Cipó BA","Picuí PB","Uruçuca BA","Pendências RN","Tapiramutá BA","Maribondo AL","Boqueirão PB","Itarantim BA","Coaraci BA","Costa Marques RO",1100080,"2204303","2907905","2511400","2932705","2409902","2931301","2704807","2502508","2916807","2908002"
"Amambai MS","Mimoso do Sul ES","Salinas MG","Tucumã PA","Paty do Alferes RJ","São Joaquim SC","Domingos Martins ES","Novo Progresso PA","São Miguel do Araguaia GO","Imbituva PR","Espigão D'Oeste RO",1100098,"5000609","3203403","3157005","1508084","3303856","4216503","3201902","1505031","5220207","4110102"
"Posse GO","Tucumã PA","Capelinha MG","Palmas PR","Afonso Cláudio ES","Domingos Martins ES","Vera Cruz BA","Amambai MS","Imbituva PR","Iúna ES","Guajará-Mirim RO",1100106,"5218300","1508084","3112307","4117602","3200102","3201902","2933208","5000609","4110102","3203007"
"Sidrolândia MS","Cajazeiras PB","São Gabriel RS","Cachoeiras de Macacu RJ","Barra de São Francisco ES","Viana ES","Aquidauana MS","Castro PR","Camaquã RS","Ouro Preto do Oeste RO","Jaru RO",1100114,"5007901","2503704","4318309","3300803","3200904","3205101","5001102","4104907","4303509","1100155"
"Ariquemes RO","São Pedro da Aldeia RJ","Itaguaí RJ","Cacoal RO","Saquarema RJ","Ponta Porã MS","Parauapebas PA","Tangará da Serra MT","Teófilo Otoni MG","Cáceres MT","Ji-Paraná RO",1100122,"1100023","3305208","3302007","1100049","3305505","5006606","1505536","5107958","3168606","5102504"
"Mãe do Rio PA","Itabela BA","Mutuípe BA","Buritis RO","São Domingos do Araguaia PA","Cupira PE","Trindade PE","Itajuípe BA","Camacan BA","Nossa Senhora da Glória SE","Machadinho D'Oeste RO",1100130,"1504059","2914653","2922409","1100452","1507151","2605004","2615607","2915502","2905602","2804508"
"Alta Floresta D'Oeste RO","Alvorada D'Oeste RO","Epitaciolândia AC","Itaperuçu PR","Barra dos Coqueiros SE","Candói PR","São Miguel do Guaporé RO","Gandu BA","Cantagalo PR","Oiapoque AP","Nova Brasilândia D'Oeste RO",1100148,"1100015","1100346","1200252","4111258","2800605","4104428","1100320","2911204","4104451","1600501"
"Barra de São Francisco ES","Salinas MG","Guanhães MG","Amambai MS","Barra do Bugres MT","São João da Barra RJ","Aimorés MG","Prudentópolis PR","Jaguaré ES","Mucuri BA","Ouro Preto do Oeste RO",1100155,"3200904","3157005","3128006","5000609","5101704","3305000","3101102","4120606","3203056","2922003"
"Vassouras RJ","Piraí RJ","Pontes E Lacerda MT","São Miguel Arcanjo SP","Goiás GO","Naviraí MS","Ibaiti PR","Casimiro de Abreu RJ","Pitanga PR","Santo Antônio da Platina PR","Pimenta Bueno RO",1100189,"3306206","3304003","5106752","3550209","5208905","5005707","4109708","3301306","4119608","4124103"
"Anápolis GO","Macapá AP","Pelotas RS","Campos dos Goytacazes RJ","Petrópolis RJ","Aparecida de Goiânia GO","Rio Branco AC","Feira de Santana BA","Contagem MG","João Pessoa PB","Porto Velho RO",1100205,"5201108","1600303","4314407","3301009","3303906","5201405","1200401","2910800","3118601","2507507"
"Anastácio MS","Bom Jesus PI","Silva Jardim RJ","Canaã dos Carajás PA","Sooretama ES","São José do Vale do Rio Preto RJ","Paty do Alferes RJ","Sapucaia RJ","Mantena MG","Macau RN","Presidente Médici RO",1100254,"5000708","2201903","3305604","1502152","3205010","3305158","3303856","3305406","3139607","2407203"
"Mampituba RS","Argirita MG","Manfrinópolis PR","Taquaraçu de Minas MG","Bonópolis GO","Desterro do Melo MG","Santa Amélia PR","Vitória das Missões RS","Santa Rita do Novo Destino GO","Nova Iguaçu de Goiás GO","Rio Crespo RO",1100262,"4311734","3104403","4114351","3168309","5203575","3121506","4123105","4323754","5219456","5214879"
"Naviraí MS","Pontes E Lacerda MT","Cristalina GO","Guapimirim RJ","Cachoeiras de Macacu RJ","Paraíba do Sul RJ","Rio Bonito RJ","São Gabriel RS","Camaquã RS","Ponta Porã MS","Rolim de Moura RO",1100288,"5005707","5106752","5206206","3301850","3300803","3303708","3304300","4318309","4303509","5006606"
"Congonhinhas PR","Guiricema MG","Apiacás MT","Itamogi MG","Jauru MT","Colméia TO","Guamiranga PR","Itapirapuã GO","Palmeirópolis TO","Carlinda MT","Santa Luzia D'Oeste RO",1100296,"4106001","3129004","5100805","3132909","5105002","1716703","4108957","5211008","1715754","5102793"
"Três Rios RJ","Cajamar SP","Barra do Piraí RJ","Rolândia PR","São Pedro da Aldeia RJ","Telêmaco Borba PR","Bertioga SP","Saquarema RJ","Barra do Garças MT","Cidade Ocidental GO","Vilhena RO",1100304,"3306008","3509205","3300308","4122404","3305208","4127106","3506359","3305505","5101803","5205497"
"Barra dos Coqueiros SE","Nazaré BA","Senador Guiomard AC","Silva Jardim RJ","Goianinha RN","Itanhém BA","Itaperuçu PR","Miranda MS","Itambacuri MG","Corrente PI","São Miguel do Guaporé RO",1100320,"2800605","2922508","1200450","3305604","2404200","2916005","4111258","5005608","3132701","2202901"
"Camacan BA","São Bento PB","Xapuri AC","Cupira PE","Trindade PE","Frei Paulo SE","Mãe do Rio PA","Mazagão AP","Bom Jesus do Tocantins PA","Porto Acre AC","Nova Mamoré RO",1100338,"2905602","2513901","1200708","2605004","2615607","2802304","1504059","1600402","1501576","1200807"
"Nova Brasilândia D'Oeste RO","Epitaciolândia AC","Alta Floresta D'Oeste RO","Cantagalo PR","Pendências RN","Apuí AM","Barra dos Coqueiros SE","São Miguel do Guaporé RO","Candói PR","Cardoso Moreira RJ","Alvorada D'Oeste RO",1100346,"1100148","1200252","1100015","4104451","2409902","1300144","2800605","1100320","4104428","3301157"
"Bom Jesus do Tocantins PA","Malhador SE","Tacuru MS","Ibicuí BA","Xapuri AC","Paranã TO","Nova Ipixuna PA","Sairé PE","Porto Acre AC","Frei Paulo SE","Alto Alegre dos Parecis RO",1100379,"1501576","2803906","5007950","2912301","1200708","1716208","1504976","2612000","1200807","2802304"
"São João do Triunfo PR","Sumidouro RJ","Cujubim RO","Brasil Novo PA","Tijucas do Sul PR","Rio Maria PA","São José do Norte RS","Capão do Leão RS","Santa Leopoldina ES","Ourilândia do Norte PA","Alto Paraíso RO",1100403,"4125100","3305703","1100940","1501725","4127601","1506161","4318507","4304663","3204500","1505437"
"São Gonçalo dos Campos BA","Machadinho D'Oeste RO","Itabela BA","Mutuípe BA","Gandu BA","Capim Grosso BA","Mãe do Rio PA","São Domingos do Araguaia PA","Jacundá PA","Alta Floresta D'Oeste RO","Buritis RO",1100452,"2929305","1100130","2914653","2922409","2911204","2906873","1504059","1507151","1503804","1100015"
