Índice de Desenvolvimento Humano (IDH)
Sigla;Código;Município;1970;1980;1991;
AC;1200013;Acrelândia;;;;
AC;1200054;Assis Brasil;;0,358;0,53;
AC;1200104;Brasiléia;0,334;0,422;0,498;
AC;1200138;Bujari;;;;
AC;1200179;Capixaba;;;;
AC;1200203;Cruzeiro do Sul;0,316;0,429;0,477;
AC;1200252;Epitaciolândia;;;;
AC;1200302;Feijó;0,287;0,346;0,413;
AC;1200328;Jordão;;;;
AC;1200336;Mâncio Lima;;0,387;0,404;
AC;1200344;Manoel Urbano;;0,341;0,378;
AC;1200351;Marechal Thaumaturgo;;;;
AC;1200385;Plácido de Castro;;0,449;0,447;
AC;1200393;Porto Walter;;;;
AC;1200401;Rio Branco;0,429;0,659;0,722;
AC;1200427;Rodrigues Alves;;;;
AC;1200435;Santa Rosa do Purus;;;;
AC;1200450;Senador Guiomard;;0,466;0,534;
AC;1200500;Sena Madureira;0,294;0,446;0,445;
AC;1200609;Tarauacá;0,239;0,332;0,383;
AC;1200708;Xapuri;0,3;0,404;0,462;
AC;1200807;Porto Acre;;;;
AL;2700102;Água Branca;0,216;0,322;0,354;
AL;2700201;Anadia;0,206;0,326;0,348;
AL;2700300;Arapiraca;0,251;0,379;0,473;
AL;2700409;Atalaia;0,264;0,363;0,368;
AL;2700508;Barra de Santo Antônio;0,263;0,379;0,344;
AL;2700607;Barra de São Miguel;0,274;0,347;0,43;
AL;2700706;Batalha;0,241;0,361;0,377;
AL;2700805;Belém;0,236;0,336;0,376;
AL;2700904;Belo Monte;0,215;0,347;0,329;
AL;2701001;Boca da Mata;0,275;0,357;0,37;
AL;2701100;Branquinha;0,242;0,307;0,291;
AL;2701209;Cacimbinhas;0,223;0,324;0,336;
AL;2701308;Cajueiro;0,279;0,337;0,366;
AL;2701357;Campestre;;;;
AL;2701407;Campo Alegre;0,222;0,352;0,377;
AL;2701506;Campo Grande;0,182;0,249;0,286;
AL;2701605;Canapi;0,193;0,273;0,312;
AL;2701704;Capela;0,262;0,315;0,35;
AL;2701803;Carneiros;0,224;0,248;0,364;
AL;2701902;Chã Preta;0,22;0,349;0,343;
AL;2702009;Coité do Nóia;0,204;0,255;0,316;
AL;2702108;Colônia Leopoldina;0,253;0,307;0,331;
AL;2702207;Coqueiro Seco;0,281;0,377;0,441;
AL;2702306;Coruripe;0,26;0,384;0,428;
AL;2702355;Craíbas;;;0,29;
