Sigla;Código;Município;1991;2000;
AC;1200013;Acrelândia;4792;7935;
AC;1200054;Assis Brasil;2917;3490;
AC;1200104;Brasiléia;12403;17013;
AC;1200138;Bujari;4247;5826;
AC;1200179;Capixaba;3795;5206;
AC;1200203;Cruzeiro do Sul;48966;67441;
AC;1200252;Epitaciolândia;8039;11028;
AC;1200302;Feijó;17769;26722;
AC;1200328;Jordão;4021;4454;
AC;1200336;Mâncio Lima;7706;11095;
AC;1200344;Manoel Urbano;3939;6374;
AC;1200351;Marechal Thaumaturgo;8149;8295;
AC;1200385;Plácido de Castro;12597;15172;
AC;1200393;Porto Walter;5911;5485;
AC;1200401;Rio Branco;184481;253059;
AC;1200427;Rodrigues Alves;6089;8093;
AC;1200435;Santa Rosa do Purus;1388;2246;
AC;1200450;Senador Guiomard;15636;19761;
AC;1200500;Sena Madureira;24197;29420;
AC;1200609;Tarauacá;23638;26037;
AC;1200708;Xapuri;8716;11956;
AC;1200807;Porto Acre;8324;11418;
AL;2700102;Água Branca;18153;18660;
AL;2700201;Anadia;16337;17849;
AL;2700300;Arapiraca;164921;186466;
AL;2700409;Atalaia;38563;40552;
AL;2700508;Barra de Santo Antônio;7416;11351;
AL;2700607;Barra de São Miguel;4950;6379;
AL;2700706;Batalha;13033;14799;
AL;2700805;Belém;5919;5919;
AL;2700904;Belo Monte;7067;6822;
AL;2701001;Boca da Mata;22188;24227;
AL;2701100;Branquinha;8305;11325;
AL;2701209;Cacimbinhas;11412;9552;
AL;2701308;Cajueiro;18597;18975;
AL;2701357;Campestre;8424;6223;
AL;2701407;Campo Alegre;36770;41028;
AL;2701506;Campo Grande;10041;9134;
AL;2701605;Canapi;18630;17334;
AL;2701704;Capela;18777;18693;
AL;2701803;Carneiros;5687;6585;
AL;2701902;Chã Preta;8196;7760;
AL;2702009;Coité do Nóia;9799;11993;
AL;2702108;Colônia Leopoldina;16739;17493;
AL;2702207;Coqueiro Seco;4784;5134;
AL;2702306;Coruripe;49240;48846;
AL;2702355;Craíbas;17816;20789;
AL;2702405;Delmiro Gouveia;41214;42995;
AL;2702504;Dois Riachos;10011;11066;
AL;2702553;Estrela de Alagoas;15691;16341;
AL;2702603;Feira Grande;19052;21270;
AL;2702702;Feliz Deserto;3438;3836;
AL;2702801;Flexeiras;12097;11979;
AL;2702900;Girau do Ponciano;27801;29574;
AL;2703007;Ibateguara;15620;15105;
AL;2703106;Igaci;26127;25584;
AL;2703205;Igreja Nova;19849;21451;
AL;2703304;Inhapi;14791;17768;
AL;2703403;Jacaré dos Homens;4746;5720;
AL;2703502;Jacuípe;7481;7313;
