"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
1100148,1100346,4203402,2800605,1100320,2923001,1100015,"Alta Floresta D'Oeste RO","Nova Brasilândia D'Oeste RO","Alvorada D'Oeste RO","Campo Belo do Sul SC"
1100122,5006606,1100288,2919207,3305505,3305208,1100023,"Ariquemes RO","Ji-Paraná RO","Ponta Porã MS","Rolim de Moura RO"
1200252,5108352,4202438,1600204,3118908,2509701,1100031,"Cabixi RO","Epitaciolândia AC","Vale de São Domingos MT","Bocaina do Sul SC"
5107958,4302105,3547304,4120606,3300803,4119152,1100049,"Cacoal RO","Tangará da Serra MT","Bento Gonçalves RS","Santana de Parnaíba SP"
3169000,4112801,4208609,4212007,4200804,4214508,1100056,"Cerejeiras RO","Tocantins MG","Joaquim Távora PR","Jaborá SC"
4128807,4109203,4218855,4314498,3112802,4116059,1100064,"Colorado do Oeste RO","Xambrê PR","Guaraci PR","União do Oeste SC"
1101005,1101757,4110201,1101609,1101708,4311122,1100072,"Corumbiara RO","Governador Jorge Teixeira RO","Vale do Anari RO","Inácio Martins PR"
2915700,2205102,2203107,2508307,2616209,2205953,1100080,"Costa Marques RO","Itamari BA","Itaueira PI","Cristino Castro PI"
3135704,1505031,5202502,5000609,4300109,5211305,1100098,"Espigão D'Oeste RO","Jequitibá MG","Novo Progresso PA","Aruanã GO"
5218300,3130200,3154002,4305371,4320453,5106158,1100106,"Guajará-Mirim RO","Posse GO","Igaratinga MG","Raul Soares MG"
5105150,3139003,4203204,4321600,4306601,4113304,1100114,"Jaru RO","Juína MT","Machado MG","Camboriú SC"
1100023,2919207,3302403,5006606,3305505,3305208,1100122,"Ji-Paraná RO","Ariquemes RO","Lauro de Freitas BA","Macaé RJ"
5005608,2500205,1101609,1101005,2700607,1101757,1100130,"Machadinho D'Oeste RO","Miranda MS","Aguiar PB","Theobroma RO"
1100015,1100346,2923001,3301157,4203402,3166709,1100148,"Nova Brasilândia D'Oeste RO","Alta Floresta D'Oeste RO","Alvorada D'Oeste RO","Nova Viçosa BA"
2919553,4321709,4300059,4303509,4318614,4309258,1100155,"Ouro Preto do Oeste RO","Luís Eduardo Magalhães BA","Três Coroas RS","Água Santa RS"
4104501,3511607,5106752,5005707,4212700,5100300,1100189,"Pimenta Bueno RO","Capanema PR","Cesário Lange SP","Pontes E Lacerda MT"
2913606,3301900,2800308,3543402,5103403,4113700,1100205,"Porto Velho RO","Ilhéus BA","Itaboraí RJ","Aracaju SE"
4105102,4109906,4124905,4100301,4207684,1600501,1100254,"Presidente Médici RO","Centenário do Sul PR","Icaraíma PR","São João do Caiuá PR"
3170578,5219456,3161650,3145406,3148806,4204178,1100262,"Rio Crespo RO","Vargem Alegre MG","Santa Rita do Novo Destino GO","São Geraldo do Baixio MG"
5106752,2503209,4124103,5002902,5005707,3546306,1100288,"Rolim de Moura RO","Pontes E Lacerda MT","Cabedelo PB","Santo Antônio da Platina PR"
4106001,3119708,3153806,3159308,5211008,4307401,1100296,"Santa Luzia D'Oeste RO","Congonhinhas PR","Coronel Xavier Chaves MG","Queluzito MG"
5205109,3306008,5214606,3536703,3305505,3304706,1100304,"Vilhena RO","Catalão GO","Três Rios RJ","Niquelândia GO"
4203402,5003488,3305752,4104451,4107157,2922508,1100320,"São Miguel do Guaporé RO","Campo Belo do Sul SC","Dois Irmãos do Buriti MS","Tanguá RJ"
1200708,2802304,3161601,2905602,3148608,2204907,1100338,"Nova Mamoré RO","Xapuri AC","Frei Paulo SE","São Geraldo da Piedade MG"
2800605,1100015,4203402,5007976,1100148,1200252,1100346,"Alvorada D'Oeste RO","Barra dos Coqueiros SE","Alta Floresta D'Oeste RO","Campo Belo do Sul SC"
1501576,1200807,2919702,2513943,2926657,1200344,1100379,"Alto Alegre dos Parecis RO","Bom Jesus do Tocantins PA","Porto Acre AC","Macarani BA"
4300638,4125100,1506161,3164803,3142304,3305703,1100403,"Alto Paraíso RO","Amaral Ferrador RS","São João do Triunfo PR","Rio Maria PA"
2911204,3305752,1101492,1101203,1507151,2915601,1100452,"Buritis RO","Gandu BA","Tanguá RJ","São Francisco do Guaporé RO"
