"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
1100148,1100346,4203402,5007976,4104451,2911204,1100015,"Alta Floresta D'Oeste RO","Nova Brasilândia D'Oeste RO","Alvorada D'Oeste RO","Campo Belo do Sul SC"
5006606,1100288,5005707,3305505,5106752,1100122,1100023,"Ariquemes RO","Ponta Porã MS","Rolim de Moura RO","Naviraí MS"
1600204,5108352,4202438,1100346,5007976,1200252,1100031,"Cabixi RO","Calçoene AP","Vale de São Domingos MT","Bocaina do Sul SC"
5006309,4124103,5219308,4117701,4322608,5209101,1100049,"Cacoal RO","Paranaíba MS","Santo Antônio da Platina PR","Santa Helena de Goiás GO"
3169000,3526308,4107520,3105301,5107198,3304102,1100056,"Cerejeiras RO","Tocantins MG","Lagoinha SP","Esperança Nova PR"
5200902,5203559,4311601,3200904,3204658,1707108,1100064,"Colorado do Oeste RO","Amorinópolis GO","Bonfinópolis GO","Liberato Salzano RS"
3150158,1101708,4311122,2912806,2700607,5004601,1100072,"Corumbiara RO","Piedade de Caratinga MG","Urupá RO","Jaquirana RS"
2204303,1101104,2906873,2204204,1702158,2932705,1100080,"Costa Marques RO","Fronteiras PI","Itapuã do Oeste RO","Capim Grosso BA"
4301909,5106240,5000609,5106307,5202155,3203502,1100098,"Espigão D'Oeste RO","Barra do Ribeiro RS","Nova Ubiratã MT","Amambai MS"
3154002,4314605,5218300,1100924,1100809,3129202,1100106,"Guajará-Mirim RO","Raul Soares MG","Piratini RS","Posse GO"
3128006,5007901,3159209,3154200,5108956,5214002,1100114,"Jaru RO","Guanhães MG","Sidrolândia MS","Santa Rita de Caldas MG"
3305208,1100023,3305505,1100049,4322608,5006606,1100122,"Ji-Paraná RO","São Pedro da Aldeia RJ","Ariquemes RO","Saquarema RJ"
2500205,1101005,1101609,1600402,4110201,1101401,1100130,"Machadinho D'Oeste RO","Aguiar PB","Governador Jorge Teixeira RO","Theobroma RO"
1100015,1100346,4203402,5007976,4311759,5106422,1100148,"Nova Brasilândia D'Oeste RO","Alta Floresta D'Oeste RO","Alvorada D'Oeste RO","Campo Belo do Sul SC"
3101102,3203056,3104106,3506706,5106216,4114401,1100155,"Ouro Preto do Oeste RO","Aimorés MG","Jaguaré ES","Arceburgo MG"
4104501,3511607,3304003,3532009,5106257,4204004,1100189,"Pimenta Bueno RO","Capanema PR","Cesário Lange SP","Piraí RJ"
1600303,5201108,3301009,5201405,4314407,1200401,1100205,"Porto Velho RO","Macapá AP","Anápolis GO","Campos dos Goytacazes RJ"
4109906,4100301,5000708,3304607,4207684,4307450,1100254,"Presidente Médici RO","Icaraíma PR","Agudos do Sul PR","Anastácio MS"
3123700,5212055,3156809,3150604,3158201,3104403,1100262,"Rio Crespo RO","Engenheiro Caldas MG","Jesúpolis GO","Sabinópolis MG"
5106752,5005707,5006606,5206206,3553807,5003256,1100288,"Rolim de Moura RO","Pontes E Lacerda MT","Naviraí MS","Ponta Porã MS"
4106001,3132909,5103353,3163409,3129004,5102793,1100296,"Santa Luzia D'Oeste RO","Congonhinhas PR","Itamogi MG","Confresa MT"
3306008,3536703,3506359,4114807,3301306,3509205,1100304,"Vilhena RO","Três Rios RJ","Pederneiras SP","Bertioga SP"
3301157,2922508,2800605,3166709,4318457,4107157,1100320,"São Miguel do Guaporé RO","Cardoso Moreira RJ","Nazaré BA","Barra dos Coqueiros SE"
2802304,2905602,2204907,1200138,1200708,2513901,1100338,"Nova Mamoré RO","Frei Paulo SE","Camacan BA","Isaías Coelho PI"
1100015,4203402,1100148,5007976,4202438,4104451,1100346,"Alvorada D'Oeste RO","Alta Floresta D'Oeste RO","Campo Belo do Sul SC","Nova Brasilândia D'Oeste RO"
1501576,2513943,1200138,2210300,5007950,2803906,1100379,"Alto Alegre dos Parecis RO","Bom Jesus do Tocantins PA","São Domingos do Cariri PB","Bujari AC"
4300638,3164803,2615409,4125100,1505437,4318507,1100403,"Alto Paraíso RO","Amaral Ferrador RS","São Sebastião do Rio Preto MG","Toritama PE"
1101492,1101104,1101401,2700607,2922409,2500205,1100452,"Buritis RO","São Francisco do Guaporé RO","Itapuã do Oeste RO","Monte Negro RO"
3166006,2516904,3121407,2102804,3153103,3160959,1100502,"Novo Horizonte do Oeste RO","Senhora de Oliveira MG","Uiraúna PB","Desterro de Entre Rios MG"
5007554,3142304,3155306,5215603,3202652,1101302,1100601,"Cacaulândia RO","Santa Rita do Pardo MS","Moeda MG","Rio Manso MG"
1101500,1508126,2204907,1501253,5007703,1100940,1100700,"Campo Novo de Rondônia RO","Seringueiras RO","Ulianópolis PA","Isaías Coelho PI"
3111903,3125705,1100924,5106281,3120607,3154002,1100809,"Candeias do Jamari RO","Cana Verde MG","Felixlândia MG","Chupinguaia RO"
4315552,4108700,3119005,4301875,4212270,4111308,1100908,"Castanheiras RO","Rio dos Índios RS","Grandes Rios PR","Cordislândia MG"
5106281,3111903,1100809,3154002,5219902,3120607,1100924,"Chupinguaia RO","Novo São Joaquim MT","Cana Verde MG","Candeias do Jamari RO"
4309571,3305703,4318507,2615409,5007703,4121703,1100940,"Cujubim RO","Herveiras RS","Sumidouro RJ","São José do Norte RS"
4110201,1101609,1100130,2500205,2802304,1504059,1101005,"Governador Jorge Teixeira RO","Inácio Martins PR","Theobroma RO","Machadinho D'Oeste RO"
1100080,1100452,1702158,2204303,2922409,1503804,1101104,"Itapuã do Oeste RO","Costa Marques RO","Buritis RO","Araguanã TO"
4107157,5003488,4319208,4304622,4111258,2911204,1101203,"Ministro Andreazza RO","Diamante D'Oeste PR","Dois Irmãos do Buriti MS","São Nicolau RS"
3155306,2414209,1508407,1100601,3202652,3142304,1101302,"Mirante da Serra RO","Rio Manso MG","Tibau do Sul RN","Xinguara PA"
1101005,2700607,2500205,1100130,4110201,1101492,1101401,"Monte Negro RO","Governador Jorge Teixeira RO","Barra de São Miguel AL","Aguiar PB"
1600402,1101609,3116308,2902005,2915809,2603108,1101435,"Nova União RO","Mazagão AP","Theobroma RO","Cipotânea MG"
4302055,3153202,1718865,3110202,3136553,3157252,1101450,"Parecis RO","Benjamin Constant do Sul RS","Presidente Juscelino MG","Santa Fé do Araguaia TO"
5205208,4321832,1400308,3205036,3305901,4216057,1101468,"Pimenteiras do Oeste RO","Caturaí GO","Três Forquilhas RS","Mucajaí RR"
4309654,4211058,5007554,4114351,4115101,5006259,1101476,"Primavera de Rondônia RO","Hulha Negra RS","Monte Carlo SC","Santa Rita do Pardo MS"
2407609,2312502,2802502,2412104,2923506,2403806,1101484,"São Felipe D'Oeste RO","Messias Targino RN","São João do Jaguaribe CE","General Maynard SE"
1100452,1101401,2500205,1100130,1101104,2700607,1101492,"São Francisco do Guaporé RO","Buritis RO","Monte Negro RO","Aguiar PB"
1501253,5007703,3161601,3157906,1100940,2802304,1101500,"Seringueiras RO","Bannach PA","Sete Quedas MS","São Geraldo da Piedade MG"
4314175,5106281,3104403,4305124,3111903,4322525,1101559,"Teixeirópolis RO","Pedras Altas RS","Novo São Joaquim MT","Argirita MG"
1101757,1101005,1100130,2500205,1101435,1600402,1101609,"Theobroma RO","Vale do Anari RO","Governador Jorge Teixeira RO","Machadinho D'Oeste RO"
3150158,1100072,2900801,1200104,4311122,3159506,1101708,"Urupá RO","Piedade de Caratinga MG","Corumbiara RO","Alcobaça BA"
1101609,2204907,1101005,2802304,1100130,2500205,1101757,"Vale do Anari RO","Theobroma RO","Isaías Coelho PI","Governador Jorge Teixeira RO"
4219150,3204500,4110078,4122156,2801009,1711902,1101807,"Vale do Paraíso RO","Vargem SC","Santa Leopoldina ES","Imbaú PR"
2605400,3101003,3121704,3105202,3126752,2908309,1200013,"Acrelândia AC","Feira Nova PE","Águas Vermelhas MG","Diogo de Vasconcelos MG"
2503308,2202778,2611408,2412906,2506806,2505105,1200054,"Assis Brasil AC","Cachoeira dos Índios PB","Colônia do Piauí PI","Primavera PE"
2806008,3150158,2900801,1101708,2401305,2916807,1200104,"Brasiléia AC","Ribeirópolis SE","Piedade de Caratinga MG","Alcobaça BA"
2513943,1501576,1100379,3163003,2615607,1504976,1200138,"Bujari AC","São Domingos do Cariri PB","Bom Jesus do Tocantins PA","Alto Alegre dos Parecis RO"
4105201,3100609,1504455,3166105,1721307,1508159,1200179,"Capixaba AC","Cerro Azul PR","Água Boa MG","Medicilândia PA"
2930105,2917508,2313401,2210607,2100055,2405702,1200203,"Cruzeiro do Sul AC","Senhor do Bonfim BA","Jacobina BA","Tianguá CE"
5007976,5108352,2800605,4202438,2923001,4107157,1200252,"Epitaciolândia AC","Taquarussu MS","Vale de São Domingos MT","Barra dos Coqueiros SE"
1200609,2604700,2909208,2205003,2603702,2205706,1200302,"Feijó AC","Tarauacá AC","Correntes PE","Coronel João Sá BA"
1300201,2703304,1303502,2916500,1303601,1503457,1200328,"Jordão AC","Atalaia do Norte AM","Inhapi AL","Pauini AM"
2414704,2407401,2804300,2404853,2306256,2403400,1200336,"Mâncio Lima AC","Várzea RN","Martins RN","Muribeca SE"
1508050,3166303,2207751,3132305,2926657,2902906,1200344,"Manoel Urbano AC","Trairão PA","Sericita MG","Passagem Franca do Piauí PI"
2105963,2504157,2205458,2506251,2103554,2100303,1200351,"Marechal Thaumaturgo AC","Lagoa Grande do Maranhão MA","Casserengue PB","Joca Marques PI"
2605509,2921302,2411502,2203305,3148400,2804003,1200385,"Plácido de Castro AC","Ferreiros PE","Milagres BA","Santo Antônio RN"
2504033,2702009,2612109,2921450,2104073,2514206,1200393,"Porto Walter AC","Capim PB","Coité do Nóia AL","Salgadinho PE"
2504009,5201108,1600303,2408003,1400100,2611101,1200401,"Rio Branco AC","Campina Grande PB","Anápolis GO","Macapá AP"
2802700,2210631,2508505,2920809,2210904,2706208,1200427,"Rodrigues Alves AC","Ilha das Flores SE","Sebastião Leal PI","Livramento PB"
2705804,1503101,2919603,2912608,1506005,2202729,1200435,"Santa Rosa do Purus AC","Olho D'Água do Casado AL","Gurupá PA","Macajuba BA"
4117800,3158805,5005608,4111258,4107736,4304622,1200450,"Senador Guiomard AC","Palmital PR","Santana do Jacaré MG","Miranda MS"
3101003,2605400,1200013,3105202,3156601,2604502,1200500,"Sena Madureira AC","Águas Vermelhas MG","Feira Nova PE","Acrelândia AC"
1200302,2909208,2604700,2603702,2205003,2608008,1200609,"Tarauacá AC","Feijó AC","Coronel João Sá BA","Correntes PE"
3161601,4110201,2802304,1100379,1200138,1101708,1200708,"Xapuri AC","São Geraldo da Piedade MG","Inácio Martins PR","Frei Paulo SE"
2513901,1712405,1706506,2905602,1504976,3163003,1200807,"Porto Acre AC","São Bento PB","Lizarda TO","Darcinópolis TO"
3162450,1507201,2206696,1508035,2405900,3108255,1300029,"Alvarães AM","São João das Missões MG","São Domingos do Capim PA","Murici dos Portelas PI"
2108454,2111805,2102705,2112407,2104099,2410405,1300060,"Amaturá AM","Peritoró MA","Sítio Novo MA","Cantanhede MA"
2612802,1713957,2615201,2904407,2200103,2930808,1300086,"Anamã AM","Santa Terezinha PE","Muricilândia TO","Terra Nova PE"
2507101,2208205,2501609,1301407,2501005,2104404,1300102,"Anori AM","Itapororoca PB","Pio Ix PI","Barra de Santa Rosa PB"
2905008,2201804,2506202,2411056,2806602,3166956,1300144,"Apuí AM","Caculé BA","Bocaina PI","Frei Martinho PB"
1200328,1303601,2703304,1503457,2104081,2209658,1300201,"Atalaia do Norte AM","Jordão AC","Santa Isabel do Rio Negro AM","Inhapi AL"
